Time,Distance,Alias Vehicle Speed,Math G Force Lat Corr
s,m,km/h,G
15.66,980,87.6,-1.9
15.68,981,87.3,-1.92
15.7,981,87,-1.93
15.72,982,86.7,-1.91
15.74,982,86.3,-1.91
15.76,983,86,-1.89
15.78,983,85.7,-1.87
15.8,984,85.3,-1.89
15.82,984,85,-1.92
15.84,985,84.6,-1.92
15.86,985,84.3,-1.87
15.88,986,84,-1.83
15.9,986,83.7,-1.79
15.92,986,83.4,-1.78
15.94,987,83,-1.8
15.96,987,82.6,-2
15.98,988,82.2,-2.02
16,988,81.9,-2.02
16.02,989,81.7,-1.96
16.04,989,81.4,-1.91
16.06,990,81.2,-1.86
16.08,990,80.9,-1.76
16.1,991,80.6,-1.73
16.12,991,80.3,-1.76
16.14,991,79.9,-1.82
16.16,992,79.6,-2.02
16.18,992,79.9,-1.98
16.2,993,79.7,-1.95
16.22,993,79.5,-1.89
16.24,994,79.3,-1.85
16.26,994,79.1,-1.74
16.28,995,78.9,-1.7
16.3,995,78.8,-1.68
16.32,995,78.6,-1.83
16.34,996,78.4,-1.92
16.36,996,78.2,-2
16.38,997,78.2,-2
16.4,997,78.1,-1.96
16.42,998,78.4,-1.83
16.44,998,77.6,-1.7
16.46,998,77.6,-1.57
16.48,999,77.6,-1.54
16.5,999,76.7,-1.55
16.52,1000,77.2,-1.61
16.54,1000,77.8,-1.66
16.56,1001,77.8,-1.72
16.58,1001,78.6,-1.74
16.6,1002,79.1,-1.69
16.62,1002,79.3,-1.62
16.64,1002,78.9,-1.57
16.66,1003,78.9,-1.55
16.68,1003,78.9,-1.56
16.7,1004,79.6,-1.61
16.72,1004,80.8,-1.67
16.74,1005,81.5,-1.73
16.76,1005,81.9,-1.76
16.78,1006,82,-1.74
16.8,1006,81.9,-1.71
16.82,1006,81.9,-1.67
16.84,1007,81.6,-1.62
16.86,1007,81.7,-1.62
16.88,1008,82.2,-1.66
16.9,1008,83.3,-1.69
16.92,1009,84,-1.69
16.94,1009,84.5,-1.67
16.96,1010,84.5,-1.67
16.98,1010,84.7,-1.65
17,1011,85,-1.63
17.02,1011,85,-1.61
17.04,1012,85.4,-1.61
17.06,1012,85.9,-1.63
17.08,1013,86.5,-1.65
17.1,1013,86.9,-1.65
17.12,1014,87.1,-1.63
17.14,1014,87.2,-1.61
17.16,1015,87.6,-1.58
17.18,1015,87.6,-1.6
17.2,1015,87.9,-1.62
17.22,1016,88.4,-1.62
17.24,1016,89,-1.6
17.26,1017,89.5,-1.58
17.28,1017,89.7,-1.56
17.3,1018,89.8,-1.54
17.32,1018,89.9,-1.52
17.34,1019,90.4,-1.54
17.36,1019,90.7,-1.55
17.38,1020,91.2,-1.53
17.4,1020,91.7,-1.51
17.42,1021,92.5,-1.47
17.44,1022,92.6,-1.43
17.46,1022,92.8,-1.4
17.48,1023,93.1,-1.38
17.5,1023,93.8,-1.38
17.52,1024,94.4,-1.39
17.54,1024,95,-1.37
